%time,field.x,field.y,field.z
1701935895138518952,-0.8927272074042856,-0.5558998403909023,-0.0013982008985038844
1701935895140312131,-0.8927519187286603,-0.5559040509694022,-0.0014023911302222284
1701935895142709849,-0.892785316065567,-0.5559099968442406,-0.00140826700984667
1701935895145694486,-0.8928272663538406,-0.5559177136280135,-0.0014158593874446044
1701935895147866252,-0.8928579725861301,-0.5559235019678552,-0.001421557217840992
1701935895149961193,-0.8928877350042607,-0.5559292245830508,-0.0014271820713905692
1701935895152028769,-0.8929172139419739,-0.5559349533378535,-0.0014327813521990685
1701935895154655265,-0.8929546663350376,-0.555942183235549,-0.001439797340549837
1701935895157922243,-0.8930010413255806,-0.5559509201275706,-0.001448243397052062
1701935895160648875,-0.8930395031611373,-0.5559579782573143,-0.0014550642908373302
1701935895162900003,-0.8930711058798273,-0.5559636527295236,-0.0014605264929410226
1701935895164777786,-0.8930973300086396,-0.5559682288589648,-0.0014649057527362662
1701935895167493641,-0.8931349470359087,-0.5559745617879319,-0.0014710198001938294
1701935895169654057,-0.8931647299977233,-0.5559795576868264,-0.0014759666482298908
1701935895171778977,-0.89319422867997,-0.5559847870723735,-0.0014812303038033963
1701935895173701824,-0.8932213060684291,-0.5559899164512704,-0.0014863708574885755
1701935895175583786,-0.8932481083218935,-0.5559951768729422,-0.0014915779605402279
1701935895177439897,-0.8932746510877447,-0.5560004316485015,-0.001496758094875862
1701935895179572105,-0.8933051883350893,-0.5560065074375529,-0.0015027268197779296
1701935895180951935,-0.8933249469810396,-0.5560104121227736,-0.0015065319118504408
1701935895182850622,-0.8933520164268477,-0.5560156884032662,-0.0015117365971224258
1701935895185242118,-0.893386200772138,-0.5560225813205321,-0.0015186578741388625
1701935895188154035,-0.893428447724133,-0.5560315697563374,-0.0015275474030771016
1701935895192010389,-0.893484804356983,-0.5560434830805863,-0.001538964873970725
1701935895194210192,-0.8935167105742825,-0.5560499046588592,-0.00154503598441189
1701935895195827455,-0.8935399672465544,-0.5560544621767882,-0.0015493913545812322
1701935895197498128,-0.8935639733985292,-0.5560592028222736,-0.0015539573406437059
1701935895200438116,-0.8936064045310562,-0.5560676821679964,-0.0015620637857653103
1701935895202892270,-0.8936418824769948,-0.5560747569986675,-0.0015687793308654227
1701935895204600821,-0.8936665367129782,-0.5560796271118142,-0.0015733817957254718
1701935895206834633,-0.8936986239842153,-0.5560857974593147,-0.0015791515162719638
1701935895208605361,-0.8937238419524924,-0.556090445177744,-0.0015834751107621232
1701935895210226498,-0.893746751433055,-0.5560945478958121,-0.001587313724813888
1701935895211956846,-0.8937711119765953,-0.5560988626109178,-0.0015913550293450084
1701935895213396630,-0.8937913355297893,-0.5561023896869688,-0.0015946309472042142
1701935895215637906,-0.8938225842251619,-0.5561076136013486,-0.0015994546291233467
1701935895217787117,-0.8938522417042924,-0.5561123561748659,-0.001603879668518226
1701935895220362694,-0.8938876570553966,-0.5561180237119822,-0.0016092577472828673
1701935895222808866,-0.8939214174521536,-0.5561235629502927,-0.0016145170149839227
1701935895226597886,-0.8939738985837175,-0.5561322483110487,-0.0016227043432567028
1701935895229230732,-0.8940103882104978,-0.5561382954288453,-0.001628423162712531
1701935895231355835,-0.8940398904017255,-0.5561432571770094,-0.0016331486552467163
1701935895233385176,-0.8940681674182204,-0.5561481091042373,-0.001637772080136306
1701935895235507576,-0.8940978485349141,-0.5561532761481993,-0.0016426915257967188
1701935895237620499,-0.8941274834833638,-0.5561585102096323,-0.0016476922127868874
1701935895239537118,-0.894154464253385,-0.5561633793364984,-0.0016523623289075929
1701935895241289046,-0.8941792481092735,-0.5561679423510341,-0.001656730246856659
1701935895243274018,-0.8942074081866724,-0.5561731706398878,-0.0016617184490851434
1701935895245265250,-0.8942356940180365,-0.5561784518105815,-0.001666772779586305
1701935895247172394,-0.8923611656787604,-0.5558650495960653,-0.0013637545004248474
1701935895249665930,-0.8923614644309569,-0.5558654021506588,-0.0013640997061429535
1701935895252555232,-0.8923619691169625,-0.5558659143219536,-0.001364525068890077
1701935895254344178,-0.8923623140607109,-0.5558662053666863,-0.0013647049879542547
1701935895256281198,-0.8923625689463346,-0.5558663890539063,-0.0013647682397096967
1701935895259065269,-0.892362717893795,-0.5558664568366768,-0.0013646778322798532
1701935895261520882,-0.8923626773807893,-0.5558663477770753,-0.0013644252629148594
1701935895263198927,-0.8923625547981296,-0.5558661769035184,-0.0013641565881121842
1701935895265085359,-0.8923623306852975,-0.5558659063794229,-0.0013637828808685214
1701935895267080879,-0.8923620180170219,-0.5558655531385842,-0.0013633281705465925
1701935895268935391,-0.8923616789935498,-0.5558651856408315,-0.0013628773161501863
1701935895271236378,-0.8923612432304244,-0.5558647396732284,-0.0013623591099967294
1701935895272572793,-0.8923610183249838,-0.5558645270055702,-0.0013621232046929926
1701935895274871262,-0.8923607939995266,-0.5558643351315535,-0.0013618889513003548
1701935895276880461,-0.8923607702357447,-0.5558643209540889,-0.0013618100793229752
1701935895278569428,-0.8923608200014843,-0.5558643585051549,-0.0013617769107034823
1701935895280480959,-0.8923609002792321,-0.5558644225622804,-0.0013617650271849436
1701935895283668108,-0.8923611227124338,-0.5558646389669801,-0.0013618714701236097
1701935895285502086,-0.8923613244718875,-0.5558648421056706,-0.0013620088121226246
1701935895287413201,-0.892361582663136,-0.555865088220423,-0.0013621677616583439
1701935895290411979,-0.8923619624761474,-0.5558654026345378,-0.0013622989225811433
1701935895292956701,-0.8923621508516386,-0.5558655020350516,-0.0013622184859522015
1701935895294771886,-0.8923621710976677,-0.5558654582076633,-0.0013620515390284052
1701935895296924026,-0.8923620936664318,-0.5558653183153501,-0.0013617770228981434
1701935895299477123,-0.8923619074158584,-0.5558650682509052,-0.0013613701445798108
1701935895301280953,-0.8923617214075943,-0.5558648339845583,-0.0013610171023401454
1701935895303332476,-0.8923614265875158,-0.5558644713830934,-0.0013605069486980158
1701935895305817474,-0.8923608988841949,-0.5558638538767326,-0.0013597097804696927
1701935895307787495,-0.8923603431375505,-0.5558632362970011,-0.0013589643690640307
1701935895309341480,-0.8923598458511133,-0.5558627050761326,-0.0013583488868636018
1701935895311891375,-0.8923590279616347,-0.5558618590190114,-0.0013573854908676961
1701935895314387365,-0.8923582932939486,-0.5558611058889437,-0.0013565166246380007
1701935895317149465,-0.8923575554733513,-0.5558603325871679,-0.0013555971522661216
1701935895319776008,-0.8923568800005571,-0.5558596083010878,-0.001354721408768665
1701935895321769761,-0.8923563618225193,-0.5558590495440184,-0.0013540472667460256
1701935895324270787,-0.8923557060557767,-0.5558583472114408,-0.0013532028916701283
1701935895326228234,-0.8923551951350998,-0.5558577991561716,-0.0013525393098419024
1701935895329148182,-0.8923544144994778,-0.5558569561855987,-0.0013515195169804609
1701935895331611030,-0.8923537287223611,-0.5558562207878108,-0.0013506399002535024
1701935895333461871,-0.8923532062348959,-0.5558556669848268,-0.0013499830172928674
1701935895335851841,-0.8923525482153537,-0.5558549779051175,-0.0013491687382055342
1701935895337648022,-0.8923520818034639,-0.5558544930497541,-0.0013485913142447523
1701935895339772809,-0.892351564308823,-0.5558539463665191,-0.0013479230470797067
1701935895342079770,-0.8923510039402953,-0.5558533372938349,-0.0013471650191499676
1701935895345965501,-0.8923499386758017,-0.5558521695397206,-0.0013457322522086256
1701935895348918468,-0.8923489928335232,-0.5558511462913833,-0.0013445179858379197
1701935895350850613,-0.8923483219055766,-0.5558504377394787,-0.0013437033653555062
1701935895352549177,-0.8923477373805563,-0.555849837251436,-0.0013430274473190088
1701935895354810752,-0.8923470502013667,-0.555849151879614,-0.0013422618656552972
1701935895357258185,-0.8923464954620519,-0.5558486127615836,-0.0013416438324703752
1701935895359146295,-0.8923462158248182,-0.5558483381261949,-0.0013412997351116209
1701935895361018022,-0.8923460424899353,-0.5558481631516023,-0.0013410533089421293
1701935895363056354,-0.8923459607770815,-0.5558480759348717,-0.0013408777264219296
1701935895364759291,-0.8923459541300309,-0.5558480407015358,-0.0013407382332828353
1701935895366310455,-0.8923459249888217,-0.5558479604956151,-0.0013405451263590767
1701935895368186485,-0.8923457913225187,-0.5558477634845166,-0.0013402205279790342
1701935895370117759,-0.8923455666932733,-0.5558474964306165,-0.0013398467880576424
1701935895372187658,-0.892345309301038,-0.555847213690545,-0.001339460783196311
1701935895373874330,-0.8923451131302801,-0.5558469915826201,-0.001339141244545171
1701935895376794873,-0.8923446996629266,-0.5558464872278507,-0.001338416625915848
1701935895380593098,-0.8923437584137182,-0.555845335313625,-0.0013368921222633833
1701935895382755745,-0.8923429147818369,-0.5558443382490883,-0.0013356594783787074
1701935895384749991,-0.8923418980530846,-0.5558431861828543,-0.0013343013567435418
1701935895386840833,-0.89234062293747,-0.5558417885745844,-0.0013327036145843732
1701935895389204826,-0.8923389843538405,-0.5558400245871209,-0.001330720160886751
1701935895391307182,-0.8923373720264014,-0.5558383051793879,-0.0013288105207383142
1701935895393132938,-0.8923358655721221,-0.5558367139395082,-0.0013270661442232937
