%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1702252244703117753,2572,27408626794,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.328372269868851,-9.62331867218018,-0.471296817064285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244704664481,2573,27418485164,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.297387063503265,-9.66679573059082,-0.505523443222046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244706320867,2574,27428306818,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.284757107496262,-9.73016548156738,-0.547970950603485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244707578859,2575,27439027070,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.308351457118988,-9.76318359375,-0.592978179454804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244709580851,2576,27448565006,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.359453231096268,-9.77500820159912,-0.618408858776093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244711070788,2577,27458305597,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.339960664510727,-9.74663639068604,-0.645179808139801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244713364069,2578,27469256639,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.257258743047714,-9.64976596832276,-0.627853274345398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244715408733,2579,27479451417,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.262524992227554,-9.55897617340088,-0.62207442522049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244717155055,2580,27489280700,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.301421195268631,-9.51241683959961,-0.607209742069244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244718772705,2581,27493418693,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.294932007789612,-9.56034851074219,-0.590435326099396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
